"id_lp_destino","Id_1000","v_destino","id_lp_tipo_destino","id_lp_destino_superior","id_pare_1000","id_lp_continente","v_coordenadas_google","i_zoom","v_coordenadas_mapa","v_link_foro","v_link_evaneos","t_booking","v_fuente","t_palabras_clave"
62,1062,"Provenza y la Costa Azul",3,55,1055,3,"43.9351691,6.067919399999937",6,"NULL","http://www.foro.lonelyplanet.es/","NULL","<!--Code to insert-->
<ins class=&#34;bookingaff&#34; data-aid=&#34;1147114&#34; data-target_aid=&#34;1141413&#34; data-prod=&#34;nsb&#34; data-width=&#34;310&#34; data-height=&#34;320&#34; data-dest_type=&#34;region&#34; data-dest_id=&#34;2745&#34; data-lang=&#34;es&#34; data-label_load=&#39;lpes-sb-provenza-es-view&#39; data-label_out=&#39;lpes-sb-provenza-es-click&#39;>
<!-- Anything inside will go away once widget is loaded. -->
<a href=&#34;//www.booking.com?aid=1141413&#34;>Booking.com</a>
</ins>
<script type=&#34;text/javascript&#34;>
(function(d, sc, u)
{ var s = d.createElement(sc), p = d.getElementsByTagName(sc)[0]; s.type = &#39;text/javascript&#39;; s.async = true; s.src = u + &#39;?v=&#39; + (+new Date()); p.parentNode.insertBefore(s,p); }
)(document, &#39;script&#39;, &#39;//aff.bstatic.com/static/affiliate_base/js/flexiproduct.js&#39;);
</script>
<!--End of code to insert-->","NULL","Guía de viaje a provenza, viajar a provenza, Guía para viajar a provenza, Guía de viaje a la costa azul, viajar a la costa azul, Guía para viajar a la costa azul, guía de viaje a Francia, viajar a Francia, Guía para viajar a Francia, viajes Europa, recomendaciones de viaje, lonely planet"
64,1064,"Atenas",2,63,1063,3,"37.9837155,23.72930969999993",11,"NULL","http://www.foro.lonelyplanet.es/","NULL","<!--Code to insert-->
<ins class=&#34;bookingaff&#34; data-aid=&#34;1147114&#34; data-target_aid=&#34;1141413&#34; data-prod=&#34;nsb&#34; data-width=&#34;310&#34; data-height=&#34;320&#34; data-dest_type=&#34;city&#34; data-dest_id=&#34;-814876&#34; data-lang=&#34;es&#34; data-label_load=&#39;lpes-sb-atenas-es-view&#39; data-label_out=&#39;lpes-sb-atenas-es-click&#39;>
<!-- Anything inside will go away once widget is loaded. -->
<a href=&#34;//www.booking.com?aid=1141413&#34;>Booking.com</a>
</ins>
<script type=&#34;text/javascript&#34;>
(function(d, sc, u)
{ var s = d.createElement(sc), p = d.getElementsByTagName(sc)[0]; s.type = &#39;text/javascript&#39;; s.async = true; s.src = u + &#39;?v=&#39; + (+new Date()); p.parentNode.insertBefore(s,p); }
)(document, &#39;script&#39;, &#39;//aff.bstatic.com/static/affiliate_base/js/flexiproduct.js&#39;);
</script>
<!--End of code to insert-->","NULL","Guía de viaje a Atenas, viajar a Atenas, Guía para viajar a Atenas, guía de viaje a Grecia, viajar a Grecia, Guía para viajar a Grecia, viajes Europa, recomendaciones de viaje, lonely planet"
162,1162,"Rajastán",3,65,1065,4,"26.70635985763354,73.89404296875",4,"NULL","http://www.foro.lonelyplanet.es/","NULL","NULL","India 5 (octubre del 2013)","NULL"
163,1163,"Delhi",2,65,1065,4,"28.497660832963472,77.255859375",5,"NULL","http://www.foro.lonelyplanet.es/","NULL","NULL","India 5 (octubre del 2013)","NULL"
164,1164,"Agra",2,65,1065,4,"27.078691552927534,78.046875",6,"NULL","http://www.foro.lonelyplanet.es/","NULL","NULL","India 5 (octubre del 2013)","NULL"
69,1069,"Cerdeña",3,68,1068,3,"40.1208752,9.012892599999986",6,"NULL","http://www.foro.lonelyplanet.es/","NULL","NULL","Italia 6 (febrero del 2012)","Guía de viaje a Cerdeña, viajar a Cerdeña, Guía para viajar a Cerdeña, Guía de viaje a Italia, viajar a Italia, Guía para viajar a Italia, viajes Europa, recomendaciones de viaje, lonely planet"
70,1070,"Florencia",2,68,1068,3,"43.7695604,11.25581360000001",9,"NULL","http://www.foro.lonelyplanet.es/","NULL","<!--Code to insert-->
<ins class=&#34;bookingaff&#34; data-aid=&#34;1147114&#34; data-target_aid=&#34;1141413&#34; data-prod=&#34;nsb&#34; data-width=&#34;310&#34; data-height=&#34;320&#34; data-dest_type=&#34;city&#34; data-dest_id=&#34;-117543&#34; data-lang=&#34;es&#34; data-label_load=&#39;lpes-sb-florencia-es-view&#39; data-label_out=&#39;lpes-sb-florencia-es-click&#39;>
<!-- Anything inside will go away once widget is loaded. -->
<a href=&#34;//www.booking.com?aid=1141413&#34;>Booking.com</a>
</ins>
<script type=&#34;text/javascript&#34;>
(function(d, sc, u)
{ var s = d.createElement(sc), p = d.getElementsByTagName(sc)[0]; s.type = &#39;text/javascript&#39;; s.async = true; s.src = u + &#39;?v=&#39; + (+new Date()); p.parentNode.insertBefore(s,p); }
)(document, &#39;script&#39;, &#39;//aff.bstatic.com/static/affiliate_base/js/flexiproduct.js&#39;);
</script>
<!--End of code to insert-->","Italia 6 (febrero del 2012)","Guía de viaje a florencia, viajar a florencia, Guía para viajar a florencia, Guía de viaje a Italia, viajar a Italia, Guía para viajar a Italia, viajes Europa, recomendaciones de viaje, lonely planet"
71,1071,"Milán",2,68,1068,3,"45.4654219,9.18592430000001",8,"NULL","http://www.foro.lonelyplanet.es/","NULL","NULL","NULL","Guía de viaje a Milán, viajar a Milán, Guía para viajar a Milán, guía de viaje a Italia, viajar a Italia, Guía para viajar a italia, Guía de viaje a Milano, viajar a milano, Guía para viajar a milano, viajes Europa, recomendaciones de viaje, lonely planet"
72,1072,"Roma",2,68,1068,3,"41.9015141,12.460773700000004",10,"NULL","http://www.foro.lonelyplanet.es/","NULL","<!--Code to insert-->
<ins class=&#34;bookingaff&#34; data-aid=&#34;1147114&#34; data-target_aid=&#34;1141413&#34; data-prod=&#34;nsb&#34; data-width=&#34;310&#34; data-height=&#34;320&#34; data-dest_type=&#34;city&#34; data-dest_id=&#34;-126693&#34; data-lang=&#34;es&#34; data-label_load=&#39;lpes-sb-roma-es-view&#39; data-label_out=&#39;lpes-sb-roma-es-click&#39;>
<!-- Anything inside will go away once widget is loaded. -->
<a href=&#34;//www.booking.com?aid=1141413&#34;>Booking.com</a>
</ins>
<script type=&#34;text/javascript&#34;>
(function(d, sc, u)
{ var s = d.createElement(sc), p = d.getElementsByTagName(sc)[0]; s.type = &#39;text/javascript&#39;; s.async = true; s.src = u + &#39;?v=&#39; + (+new Date()); p.parentNode.insertBefore(s,p); }
)(document, &#39;script&#39;, &#39;//aff.bstatic.com/static/affiliate_base/js/flexiproduct.js&#39;);
</script>
<!--End of code to insert-->","NULL","Guía de viaje a Roma, viajar a Roma, Guía para viajar a Roma, viajes Italia, viajar a Italia, viajar a Europa, recomendaciones de viaje, lonely planet"
73,1073,"Sicilia",3,68,1068,3,"37.3979297,14.658782100000053",7,"NULL","http://www.foro.lonelyplanet.es/","NULL","NULL","Italia 6 (febrero del 2012)","Guía de viaje a Sicilia, viajar a Sicilia, Guía para viajar a sicilia, Guía de viaje a Italia, viajar a Italia, Guía para viajar a Italia, viajes Europa, recomendaciones de viaje, lonely planet"
74,1074,"Venecia",2,68,1068,3,"45.4408474,12.31551509999997",8,"NULL","http://www.foro.lonelyplanet.es/","NULL","NULL","Italia 6 (febrero del 2012)","Guía de viaje a Venecia, viajar a Venecia, Guía para viajar a Venecia, Guía de viaje a Italia, viajar a Italia, Guía para viajar a Italia, viajes Europa, recomendaciones de viaje, lonely planet"
110,1110,"Toscana",3,68,1068,3,"43.66389768371697,11.848754789062468",7,"NULL","http://www.foro.lonelyplanet.es/","NULL","<!--Code to insert-->
<ins class=&#34;bookingaff&#34; data-aid=&#34;1147114&#34; data-target_aid=&#34;1141413&#34; data-prod=&#34;nsb&#34; data-width=&#34;310&#34; data-height=&#34;320&#34; data-dest_type=&#34;region&#34; data-dest_id=&#34;910&#34; data-lang=&#34;es&#34; data-label_load=&#39;lpes-sb-toscana-es-view&#39; data-label_out=&#39;lpes-sb-toscana-es-click&#39;>
<!-- Anything inside will go away once widget is loaded. -->
<a href=&#34;//www.booking.com?aid=1141413&#34;>Booking.com</a>
</ins>
<script type=&#34;text/javascript&#34;>
(function(d, sc, u)
{ var s = d.createElement(sc), p = d.getElementsByTagName(sc)[0]; s.type = &#39;text/javascript&#39;; s.async = true; s.src = u + &#39;?v=&#39; + (+new Date()); p.parentNode.insertBefore(s,p); }
)(document, &#39;script&#39;, &#39;//aff.bstatic.com/static/affiliate_base/js/flexiproduct.js&#39;);
</script>
<!--End of code to insert-->","Italia 6 (febrero del 2012)","Guía de viaje a la Toscana, viajar a la Toscana, Guía para viajar a la Toscana, Guía de viaje a Italia, viajar a Italia, Guía para viajar a Italia, viajes Europa, recomendaciones de viaje, lonely planet"
148,1148,"Nápoles",2,68,1068,3,"40.82212357516945,14.271240234375",6,"NULL","http://www.foro.lonelyplanet.es/","NULL","<!--Code to insert-->
<ins class=&#34;bookingaff&#34; data-aid=&#34;1147114&#34; data-target_aid=&#34;1141413&#34; data-prod=&#34;nsb&#34; data-width=&#34;310&#34; data-height=&#34;320&#34; data-dest_type=&#34;city&#34; data-dest_id=&#34;-122902&#34; data-lang=&#34;es&#34; data-label_load=&#39;lpes-sb-napoles-es-view&#39; data-label_out=&#39;lpes-sb-napoles-es-click&#39;>
<!-- Anything inside will go away once widget is loaded. -->
<a href=&#34;//www.booking.com?aid=1141413&#34;>Booking.com</a>
</ins>
<script type=&#34;text/javascript&#34;>
(function(d, sc, u)
{ var s = d.createElement(sc), p = d.getElementsByTagName(sc)[0]; s.type = &#39;text/javascript&#39;; s.async = true; s.src = u + &#39;?v=&#39; + (+new Date()); p.parentNode.insertBefore(s,p); }
)(document, &#39;script&#39;, &#39;//aff.bstatic.com/static/affiliate_base/js/flexiproduct.js&#39;);
</script>
<!--End of code to insert-->","NULL","Guía de viaje a nápoles, viajar a nápoles, Guía para viajar a nápoles, viajes Italia, viajar a italia, viajar a Europa, recomendaciones de viaje, lonely planet"
76,1076,"Tokio",2,75,1075,4,"35.6894875,139.69170639999993",9,"NULL","http://www.foro.lonelyplanet.es/","NULL","NULL","NULL","Guía de viaje a Tokio, viajar a Tokio, Guía para viajar a Tokio, guía de viaje a Japón, viajar a Japón, Guía para viajar a Japón, viajes Asia, recomendaciones de viaje, lonely planet"
90,1090,"Moscú",2,89,1089,3,"55.7427928,37.61540089999994",11,"NULL","http://www.foro.lonelyplanet.es/","NULL","NULL","Rusia 2 (marzo del 2009)","viajar a moscú, guía de viaje a moscú, guía para viajar a moscú, viajar a Rusia, guía de viaje a Rusia, guía para viajar a Rusia, viajes Europa, lonely planet, recomendaciones de viaje, "
91,1091,"San Petersburgo",2,89,1089,3,"60.07623830000001,30.12138290000007",8,"NULL","http://www.foro.lonelyplanet.es/","NULL","NULL","Rusia 2 (marzo del 2009)","viajar a san petersburgo, guía de viaje a san petersburgo, guía para viajar a san petersburgo, viajar a Rusia, guía de viaje a Rusia, guía para viajar a Rusia, viajes Europa, lonely planet, recomendaciones de viaje, "
156,1156,"Ciudad del Cabo",2,94,1094,5,"-33.99802726234875,18.43505859375",6,"NULL","http://www.foro.lonelyplanet.es/","NULL","<!--Code to insert-->
<ins class=&#34;bookingaff&#34; data-aid=&#34;1147114&#34; data-target_aid=&#34;1141413&#34; data-prod=&#34;nsb&#34; data-width=&#34;310&#34; data-height=&#34;320&#34; data-dest_type=&#34;city&#34; data-dest_id=&#34;-1217214&#34; data-lang=&#34;es&#34; data-label_load=&#39;lpes-sb-ciudaddelcabo-es-view&#39; data-label_out=&#39;lpes-sb-ciudaddelcabo-es-click&#39;>
<!-- Anything inside will go away once widget is loaded. -->
<a href=&#34;//www.booking.com?aid=1141413&#34;>Booking.com</a>
</ins>
<script type=&#34;text/javascript&#34;>
(function(d, sc, u)
{ var s = d.createElement(sc), p = d.getElementsByTagName(sc)[0]; s.type = &#39;text/javascript&#39;; s.async = true; s.src = u + &#39;?v=&#39; + (+new Date()); p.parentNode.insertBefore(s,p); }
)(document, &#39;script&#39;, &#39;//aff.bstatic.com/static/affiliate_base/js/flexiproduct.js&#39;);
</script>
<!--End of code to insert-->","Sur de África 2 (marzo del 2010)","NULL"
100,1100,"Estambul",2,99,1099,4,"41.00527,28.976959999999963",11,"NULL","http://www.foro.lonelyplanet.es/","NULL","NULL","Turquía 6 (marzo del 2011)","NULL"
108,1108,"Cancún",2,107,1107,1,"21.158964,-86.84593699999999",7,"NULL","http://www.foro.lonelyplanet.es/","NULL","NULL","México 5 (septiembre del 2010)","NULL"
109,1109,"Yucatán",3,107,1107,1,"20.7098786,-89.09433769999998",6,"NULL","http://www.foro.lonelyplanet.es/","NULL","NULL","México 5 (septiembre del 2010)","NULL"
186,1186,"Ciudad de México",2,107,1107,1,"19.4326077,-99.13320799999997",7,"NULL","http://www.foro.lonelyplanet.es/","NULL","NULL","NULL","Guía de viaje a méxico df, viajar a ciudad de méxico, Guía para viajar a méxico df, guía de viaje a méxico, viajar a méxico, Guía para viajar a méxico, viajes américa, recomendaciones de viaje, lonely planet"
113,1113,"Marrakech",2,112,1112,5,"31.6333333,-8",12,"NULL","http://www.foro.lonelyplanet.es/","NULL","NULL","Marruecos 6 (agosto del 2011)","NULL"
115,1115,"Andalucía",3,114,1114,3,"37.5442706,-4.727752799999962",5,"NULL","http://www.foro.lonelyplanet.es/","NULL","NULL","NULL","Guía de viaje a andalucia, viajar a andalucia, Guía para viajar a andaluca, viajes España, viajar a españa, viajar a Europa, recomendaciones de viaje, lonely planet"
116,1116,"Barcelona",2,114,1114,3,"41.387917,2.1699187000000393",9,"NULL","http://www.foro.lonelyplanet.es/","NULL","NULL","Barcelona 5 (noviembre del 2010)","Guía de viaje a Barcelona, viajar a Barcelona, Guía para viajar a Barcelona, viajes Europa, viajes España, viajes Cataluña, viajar a España, viajar a Cataluña, recomendaciones de viaje, lonely planet"
121,1121,"Granada",2,114,1114,3,"37.17648740000001,-3.5979290999999875",8,"NULL","http://www.foro.lonelyplanet.es/","NULL","NULL","Granada De cerca (enero del 2012)","Guía de viaje a Granada, viajar a Granada, Guía para viajar a Granada, viajes Europa, viajar a España, viajar a Andalucía, viaja por España, viajar por Andalucía, recomendaciones de viaje, lonely planet"
122,1122,"Canarias",3,114,1114,3,"28.29156369999999,-16.629130400000008",6,"NULL","http://www.foro.lonelyplanet.es/","NULL","NULL","NULL","Guía de viaje a canarias, viajar a canarias, Guía para viajar a canarias, viajes España, viajar a las islas, viajar a Europa, recomendaciones de viaje, lonely planet"
123,1123,"Madrid",2,114,1114,3,"40.4167754,-3.7037901999999576",6,"NULL","http://www.foro.lonelyplanet.es/","NULL","NULL","NULL","Guía de viaje a Madrid, viajar a madrid, Guía para viajar a madrid, viajes España, viajar a españa, viajar a Europa, recomendaciones de viaje, lonely planet"
